               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089817,             0.18019,            0.016787,              0.4001,             0.35544,             0.31923,            0.091004,            0.085682,             0.15213,           0.0064619,           0.0033016,           0.0033016,            0.070286
                   1,            0.071884,             0.17788,            0.006874,             0.60748,             0.49127,              0.5131,             0.19015,            0.068252,             0.13623,           0.0051849,            0.006416,            0.006416,            0.040067
                   2,             0.06538,             0.18019,           0.0058933,             0.57371,              0.4897,             0.49616,             0.18128,            0.067047,             0.14667,           0.0048285,           0.0093103,           0.0093103,           0.0096278
                   3,            0.060752,             0.17937,           0.0053064,             0.74389,             0.57498,             0.63786,             0.29648,            0.058347,             0.13224,           0.0042516,             0.00901,             0.00901,             0.00901
                   4,            0.058722,             0.17649,           0.0049284,             0.76295,             0.57104,              0.6486,             0.30246,            0.058683,              0.1374,           0.0041535,             0.00901,             0.00901,             0.00901
                   5,            0.056756,             0.17078,           0.0047713,             0.79625,             0.57986,             0.67162,              0.3385,            0.055592,             0.12668,           0.0039892,             0.00868,             0.00868,             0.00868
                   6,            0.056249,             0.17234,           0.0046424,             0.79164,             0.59705,             0.67713,             0.34319,            0.054667,             0.12608,           0.0036614,             0.00835,             0.00835,             0.00835
                   7,             0.05573,              0.1721,           0.0044545,             0.78984,             0.58526,             0.66957,             0.34338,            0.054659,             0.12589,           0.0038096,             0.00802,             0.00802,             0.00802
                   8,            0.055246,             0.17098,           0.0044575,             0.81252,             0.60149,             0.69335,             0.36088,            0.053823,             0.12422,           0.0035677,             0.00769,             0.00769,             0.00769
                   9,            0.054755,              0.1725,           0.0043947,             0.79383,             0.60644,             0.69114,             0.36083,            0.053896,             0.12403,           0.0036228,             0.00736,             0.00736,             0.00736
                  10,            0.053912,             0.17035,           0.0042878,              0.8073,             0.60555,             0.68845,             0.36742,             0.05293,              0.1245,           0.0035761,             0.00703,             0.00703,             0.00703
                  11,            0.053456,             0.16799,           0.0042599,             0.81354,             0.61923,              0.7053,             0.37354,            0.052812,             0.12345,            0.003515,              0.0067,              0.0067,              0.0067
                  12,            0.053309,             0.16692,           0.0041935,             0.81427,             0.61195,             0.69904,             0.37593,            0.052503,             0.12301,           0.0033875,             0.00637,             0.00637,             0.00637
                  13,             0.05354,             0.16859,           0.0041329,             0.81278,             0.60823,             0.70019,             0.37932,            0.052056,             0.12357,            0.003427,             0.00604,             0.00604,             0.00604
                  14,            0.053024,             0.16575,           0.0040677,             0.81049,             0.62417,             0.70605,             0.38331,            0.051847,             0.12153,           0.0033818,             0.00571,             0.00571,             0.00571
                  15,            0.052661,             0.16513,            0.004105,             0.81577,             0.62769,             0.71251,             0.39148,            0.051437,             0.12107,           0.0033062,             0.00538,             0.00538,             0.00538
                  16,            0.052593,             0.16716,           0.0040651,             0.81838,             0.62296,             0.71061,             0.38952,            0.051512,             0.12129,           0.0032766,             0.00505,             0.00505,             0.00505
                  17,            0.052235,             0.16209,           0.0039514,             0.82462,             0.61378,              0.7078,             0.38927,            0.051402,             0.12101,           0.0033261,             0.00472,             0.00472,             0.00472
                  18,            0.052455,             0.16636,           0.0040036,             0.82384,              0.6299,             0.71716,             0.39095,            0.051375,             0.12072,            0.003272,             0.00439,             0.00439,             0.00439
                  19,            0.051926,             0.16731,            0.003954,             0.82491,             0.63446,             0.72171,             0.39856,            0.050975,             0.11989,           0.0031997,             0.00406,             0.00406,             0.00406
                  20,            0.051505,             0.16184,           0.0038888,             0.82796,             0.62795,             0.71818,             0.39923,            0.050592,             0.11943,           0.0032256,             0.00373,             0.00373,             0.00373
                  21,            0.051589,             0.16118,           0.0038575,             0.82939,             0.63194,             0.72315,             0.40216,            0.050578,             0.11934,           0.0032392,              0.0034,              0.0034,              0.0034
                  22,            0.051448,             0.16105,           0.0038679,             0.84038,               0.635,             0.72808,             0.40669,            0.050399,              0.1191,           0.0031687,             0.00307,             0.00307,             0.00307
                  23,            0.051477,             0.16218,           0.0038266,             0.83097,             0.63622,             0.72413,             0.40729,            0.050165,             0.11856,           0.0031477,             0.00274,             0.00274,             0.00274
                  24,             0.05119,             0.16179,           0.0037652,              0.8254,             0.63676,             0.72422,             0.40799,            0.050235,             0.11893,           0.0031576,             0.00241,             0.00241,             0.00241
                  25,             0.05077,             0.15811,           0.0037277,             0.83025,             0.63469,             0.72483,             0.41139,            0.049886,             0.11839,           0.0031094,             0.00208,             0.00208,             0.00208
                  26,            0.050938,             0.16168,           0.0037272,             0.83848,             0.64282,             0.73178,             0.41332,            0.049895,             0.11863,            0.003078,             0.00175,             0.00175,             0.00175
                  27,            0.050457,             0.16071,           0.0037104,             0.83909,             0.64372,             0.73245,              0.4154,            0.049699,             0.11814,            0.003067,             0.00142,             0.00142,             0.00142
                  28,            0.050777,             0.15916,           0.0037982,             0.84491,             0.63846,             0.73275,             0.41552,            0.049795,             0.11811,           0.0030751,             0.00109,             0.00109,             0.00109
                  29,            0.050178,             0.15749,           0.0036617,             0.83718,              0.6446,             0.73327,             0.41787,            0.049551,             0.11755,           0.0030514,             0.00076,             0.00076,             0.00076
